"Rank","Team","Points","Games","Avg"
"1","Los Angeles Rams","151.0","16","9.4"
"2","Pittsburgh Steelers","148.0","16","9.3"
"3","Indianapolis Colts","146.0","16","9.1"
"4","Miami Dolphins","141.0","16","8.8"
"4","Baltimore Ravens","141.0","16","8.8"
"6","Washington Football Team","127.0","16","7.9"
"7","New Orleans Saints","124.0","16","7.8"
"8","Buffalo Bills","118.0","16","7.4"
"9","Tampa Bay Buccaneers","117.0","16","7.3"
"10","Arizona Cardinals","108.0","16","6.8"
"11","Kansas City Chiefs","106.0","16","6.6"
"11","New England Patriots","106.0","16","6.6"
"13","New York Giants","103.0","16","6.4"
"13","Seattle Seahawks","103.0","16","6.4"
"15","Philadelphia Eagles","101.0","16","6.3"
"16","Carolina Panthers","99.0","16","6.2"
"17","Cleveland Browns","97.0","16","6.1"
"18","Green Bay Packers","94.0","16","5.9"
"19","Chicago Bears","90.0","16","5.6"
"20","San Francisco 49ers","88.0","16","5.5"
"21","Dallas Cowboys","76.0","16","4.8"
"22","Los Angeles Chargers","73.0","16","4.6"
"22","Denver Broncos","73.0","16","4.6"
"24","Atlanta Falcons","72.0","16","4.5"
"25","New York Jets","67.0","16","4.2"
"26","Tennessee Titans","66.0","16","4.1"
"27","Minnesota Vikings","60.0","16","3.8"
"28","Jacksonville Jaguars","58.0","16","3.6"
"29","Cincinnati Bengals","45.0","16","2.8"
"30","Las Vegas Raiders","43.0","16","2.7"
"31","Houston Texans","41.0","16","2.6"
"32","Detroit Lions","29.0","16","1.8"
""
""